YYYYMM,from_Total Perm,from_Total Temp,to_Total Perm,to_Total Temp,total_moves_from,total_moves_to,net_inflow,net_inflow_temp,net_inflow_perm
2019-01-01,30710,1412,28685,1369,32122,30054,-2068,-43,-2025
2019-02-01,27861,967,26083,954,28828,27037,-1791,-13,-1778
2019-03-01,31017,1111,28356,1103,32128,29459,-2669,-8,-2661
2019-04-01,30634,1076,28284,1105,31710,29389,-2321,29,-2350
2019-05-01,33466,1406,30515,1530,34872,32045,-2827,124,-2951
2019-06-01,36902,1630,33565,1624,38532,35189,-3343,-6,-3337
2019-07-01,38296,1498,35071,1487,39794,36558,-3236,-11,-3225
2019-08-01,37286,1434,34523,1393,38720,35916,-2804,-41,-2763
2019-09-01,31712,1217,28985,1207,32929,30192,-2737,-10,-2727
2019-10-01,30023,1243,27335,1173,31266,28508,-2758,-70,-2688
2019-11-01,27234,1193,24931,1065,28427,25996,-2431,-128,-2303
2019-12-01,26436,1073,24247,1036,27509,25283,-2226,-37,-2189
2020-01-01,30237,1460,27779,1338,31697,29117,-2580,-122,-2458
2020-02-01,29125,1153,26834,1115,30278,27949,-2329,-38,-2291
2020-03-01,33740,4885,30484,3884,38625,34368,-4257,-1001,-3256
2020-04-01,29557,3584,25825,2798,33141,28623,-4518,-786,-3732
2020-05-01,32741,2264,28006,1903,35005,29909,-5096,-361,-4735
2020-06-01,40662,2472,34424,2035,43134,36459,-6675,-437,-6238
2020-07-01,47546,2442,40120,2078,49988,42198,-7790,-364,-7426
2020-08-01,49871,2593,41257,2241,52464,43498,-8966,-352,-8614
2020-09-01,44542,2356,36266,1780,46898,38046,-8852,-576,-8276
2020-10-01,42486,2363,34842,1650,44849,36492,-8357,-713,-7644
2020-11-01,38210,2351,31897,1786,40561,33683,-6878,-565,-6313
2020-12-01,37908,2578,32253,1887,40486,34140,-6346,-691,-5655
